Date,Close,Open,High,Low,Vol,Change_%
"Sep 21, 2009",121.57,121.03,122.08,120.88,4516477,-0.44
"Sep 18, 2009",122.11,122.45,122.88,121.62,9936586,0.19
"Sep 17, 2009",121.88,121.14,122.78,121.05,8394048,0.05
"Sep 16, 2009",121.82,119.50,122.00,119.30,11239737,2.07
"Sep 15, 2009",119.35,118.78,119.45,118.16,6535919,0.40
"Sep 14, 2009",118.88,117.00,118.99,116.94,4760207,0.70
"Sep 11, 2009",118.05,117.80,119.25,117.47,5893678,0.32
"Sep 10, 2009",117.67,116.99,117.83,116.75,4889568,0.78
"Sep 09, 2009",116.76,117.03,117.67,116.16,5248477,-0.34
"Sep 08, 2009",117.16,117.94,118.17,116.63,5797728,-0.26
"Sep 04, 2009",117.46,116.58,117.50,116.21,3451667,0.97
"Sep 03, 2009",116.33,116.55,116.73,115.15,4937002,0.21
"Sep 02, 2009",116.09,116.34,117.24,116.00,5178727,-0.51
"Sep 01, 2009",116.69,117.67,118.93,116.50,6305084,-1.15
"Aug 31, 2009",118.05,117.10,118.06,116.92,5440174,-0.14
"Aug 28, 2009",118.22,120.10,120.23,117.77,6236128,-1.01
"Aug 27, 2009",119.43,118.73,119.59,117.85,4356903,-0.03
"Aug 26, 2009",119.47,118.64,119.85,117.51,4516257,0.54
"Aug 25, 2009",118.83,119.25,120.15,118.71,4653733,-0.41
"Aug 24, 2009",119.32,119.92,120.88,119.10,6365021,-0.48
"Aug 21, 2009",119.90,119.65,120.01,118.55,8307764,0.80
"Aug 20, 2009",118.95,118.44,119.41,118.10,4842029,0.32
"Aug 19, 2009",118.57,116.36,118.77,116.12,4837844,0.80
"Aug 18, 2009",117.63,116.81,118.00,116.73,4286472,0.66
"Aug 17, 2009",116.86,116.69,117.44,116.21,5351307,-1.44
"Aug 14, 2009",118.57,119.29,119.74,117.62,4797051,-0.84
"Aug 13, 2009",119.58,119.28,119.78,118.63,5489981,0.24
"Aug 12, 2009",119.29,117.60,119.96,117.42,6291557,1.27
"Aug 11, 2009",117.79,118.03,118.50,117.32,4844435,-0.77
"Aug 10, 2009",118.70,118.17,119.19,117.97,4041305,-0.53
"Aug 07, 2009",119.33,118.11,119.91,118.11,5763172,1.66
"Aug 06, 2009",117.38,118.31,118.40,116.70,6003237,-0.92
"Aug 05, 2009",118.47,118.52,119.00,117.86,5026291,-0.94
"Aug 04, 2009",119.60,119.17,119.80,119.02,4994676,-0.27
"Aug 03, 2009",119.92,118.88,119.96,118.69,6112018,1.69
"Jul 31, 2009",117.93,117.56,118.99,117.56,5329586,0.06
"Jul 30, 2009",117.86,118.00,119.37,117.67,6805957,0.51
"Jul 29, 2009",117.26,116.36,117.28,116.05,5101397,-0.02
"Jul 28, 2009",117.28,116.63,117.52,116.34,5783139,-0.30
"Jul 27, 2009",117.63,116.95,117.92,116.57,5070160,-0.01
"Jul 24, 2009",117.64,116.68,118.15,116.63,6262750,0.50
"Jul 23, 2009",117.06,115.06,118.00,115.06,8464024,1.29
"Jul 22, 2009",115.57,116.18,117.20,115.09,8813331,-1.26
"Jul 21, 2009",117.04,115.87,117.04,115.38,8303777,0.52
"Jul 20, 2009",116.44,114.53,116.88,114.39,10683485,0.88
"Jul 17, 2009",115.42,113.41,115.53,113.16,20190164,4.32
"Jul 16, 2009",110.64,106.84,110.97,106.79,15048197,3.19
"Jul 15, 2009",107.22,104.75,107.22,104.60,8707266,3.85
"Jul 14, 2009",103.25,103.42,103.62,102.52,5416082,-0.36
"Jul 13, 2009",103.62,101.28,103.65,100.19,9494417,2.77
"Jul 10, 2009",100.83,100.97,101.72,99.80,7470894,-1.22
"Jul 09, 2009",102.08,101.12,102.78,100.85,6153127,1.39
"Jul 08, 2009",100.68,100.29,101.17,99.50,7380719,0.49
"Jul 07, 2009",100.19,101.34,101.96,100.03,6685957,-1.44
"Jul 06, 2009",101.65,101.57,102.23,100.47,6523090,-0.08
"Jul 02, 2009",101.73,103.80,103.91,101.73,7027779,-2.97
"Jul 01, 2009",104.84,105.00,106.27,104.73,5537276,0.40
"Jun 30, 2009",104.42,105.69,106.03,103.81,7512588,-1.33
